-67.607169 0.001409 25.000477 0.000000
-67.607169 0.001205 25.000425 0.000000
-67.607169 0.001188 1.000388 0.000000
-67.607169 0.001188 1.000388 0.000000
-67.607169 0.001188 1.000388 0.000000
-67.607169 0.001214 1.000386 0.000000
-70.374339 0.001474 0.999463 0.000000
-70.374339 0.002702 0.997513 0.000000
-70.374339 0.002702 0.997513 0.000000
-70.374339 0.002702 0.997513 0.000000
-70.374339 0.002702 0.997513 0.000000
-70.374339 0.002702 0.997513 0.000000
-70.374339 0.002702 0.997513 0.000000
-70.374339 0.002702 0.997513 0.000000
-67.607169 0.001214 1.000386 0.000000
-67.607169 0.001279 1.500422 0.000000
-67.607169 0.001385 2.500457 0.000000
-67.607169 0.002397 25.000904 0.000000
-70.374339 0.007197 1.002453 0.000000
-70.374339 0.007197 1.002453 0.000000
-67.607169 0.010210 5.003797 0.000000
-67.607169 0.010210 5.003797 0.000000
-67.607169 0.010210 5.003797 0.000000
-70.374339 0.026091 1.995926 0.162281
-67.607169 0.002442 2.000932 0.000000
-67.607169 0.002456 1.999760 0.000000
-67.607169 0.004978 1.998342 0.000000
-67.607169 0.002907 1.999889 0.000000
-70.374339 0.008513 2.005891 0.000000
-70.374339 0.024084 2.001553 0.067938
-67.607169 0.030098 2.012103 0.233576
-67.607169 0.030098 2.012103 0.233576
-70.374339 0.032690 2.008604 0.149381
-70.374339 0.018002 2.009005 0.054682
-67.607169 0.002456 1.999760 0.000000
-70.374339 0.008635 2.000850 0.000000
-67.607169 0.002907 1.999889 0.000000
-70.374339 0.008469 2.000899 0.000000
-67.607169 0.006722 1.998908 0.000000
-70.374339 0.004999 2.000334 0.000000
-67.607169 0.015404 2.005849 0.006396
-70.374339 0.017012 2.005941 0.011903
-70.374339 0.011141 1.997064 0.000000
-67.607169 0.010814 1.999844 0.000000
-70.374339 0.010786 1.999720 0.000000
-70.374339 0.012702 2.002941 0.000000
-70.374339 0.038702 2.002430 0.129082
-67.607169 0.039894 2.006366 0.180262
-70.374339 0.039175 2.006169 0.148707
-70.374339 0.008256 2.001488 0.000000
-67.607169 0.006911 2.000842 0.000000
-70.374339 0.006582 25.001285 0.000000
-67.607169 0.012135 25.001857 0.000000
-67.607169 0.013172 25.004864 0.000000
-67.607169 0.011030 25.004557 0.000000
-70.374339 0.014190 25.006397 0.000000
-70.374339 0.014664 25.009813 0.000000
-70.374339 0.014735 25.005573 0.000000
-70.374339 0.011376 25.001844 0.000000
-70.374339 0.011670 25.004274 0.000000
-70.374339 0.010863 25.002520 0.000000
-70.374339 0.010820 25.000111 0.000000
-70.374339 0.004428 24.994684 0.000000
-70.374339 0.001956 24.998968 0.000000
-70.374339 0.012172 25.000436 0.000000
-70.374339 0.012139 25.003599 0.000000
-70.374339 0.007148 25.003002 0.000000
-67.607169 0.002550 25.000073 0.000000
-67.607169 0.002555 24.999818 0.000000
-70.374339 0.008994 25.002510 0.000000
-67.607169 0.008647 24.995319 0.000000
-67.607169 0.007935 25.002380 0.000000
-67.607169 0.009280 25.001181 0.000000
-70.374339 0.010945 25.002018 0.000000
-70.374339 0.013509 25.001794 0.000000
-70.374339 0.021503 25.009709 0.006134
-67.607169 0.006384 25.002689 0.000000
-67.607169 0.005292 25.001240 0.000000
-67.607169 0.009170 25.003732 0.000000
-70.374339 0.014873 25.005028 0.000000
-70.374339 0.015003 25.004503 0.000713
-70.374339 0.015215 24.957919 0.000000
-67.607169 0.003793 0.001897 0.000000
-67.607169 0.015825 0.009376 0.000069
-67.607169 0.007757 0.003552 0.000000
-70.374339 0.019083 0.011063 0.000975
-70.374339 0.023494 0.012502 0.000139
-70.374339 0.016674 0.009651 0.000000
-70.374339 0.016674 0.009651 0.000000
-70.374339 0.050112 0.030213 0.052824
-70.374339 0.050112 0.030213 0.052824
-67.607169 0.047342 0.024504 0.050886
-70.374339 0.057127 0.041393 0.125172
-70.374339 0.015565 0.008088 0.000000
-70.374339 0.015837 0.008696 0.001459
-67.607169 0.016064 0.009148 0.000000
-67.607169 0.015262 0.008608 0.000000
-70.374339 0.015534 0.008931 0.000061
-70.374339 0.014754 0.008154 0.000000
-70.374339 0.015058 0.008203 0.000123
-67.607169 0.015297 0.008118 0.000000
-67.607169 0.015262 0.008608 0.000000
-70.374339 0.021912 0.011062 0.002909
-70.374339 0.048989 0.029407 0.052145
-70.374339 0.089644 0.030129 0.459848
-70.374339 0.089644 0.030129 0.459848
-70.374339 0.089644 0.030129 0.459848
-70.374339 0.006615 0.002712 0.000000
-70.374339 0.009110 0.005744 0.004758
-70.374339 0.039752 0.022100 0.102701
-67.607169 0.039853 0.018193 0.120765
-67.607169 0.041021 0.022096 0.105565
-70.374339 0.023551 0.014941 0.018078
-67.607169 0.041021 0.022096 0.105565
-70.374339 0.023551 0.014941 0.018078
-70.374339 0.023022 0.014115 0.018726
-67.607169 0.040800 0.016614 0.184090
-67.607169 0.040800 0.016614 0.184090
-70.374339 0.040262 0.023105 0.102465
-67.607169 0.040800 0.016614 0.184090
-67.607169 0.040800 0.016614 0.184090
-70.374339 0.015837 0.008696 0.001459
-70.374339 0.040262 0.023105 0.102465
-70.374339 0.015837 0.008696 0.001459
-70.374339 0.011233 0.006195 0.000000
-70.374339 0.040678 0.017568 0.138563
-70.374339 0.040678 0.017568 0.138563
-70.374339 0.011840 0.006258 0.000000
-70.374339 0.009189 0.005406 0.000000
-70.374339 0.040337 0.030276 0.137340
-70.374339 0.058451 0.012006 0.660483
-70.374339 0.029798 0.017163 0.006780
-70.374339 0.033859 0.016724 0.035599
-70.374339 0.051014 0.011473 0.591849
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.002623 0.000118 0.000000
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.002623 0.000118 0.000000
-67.607169 0.002623 0.000118 0.000000
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.002623 0.000118 0.000000
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.005654 0.003427 0.000000
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.003706 0.002075 0.000000
-67.607169 0.005654 0.003427 0.000000
-67.607169 0.009060 0.003964 0.000000
-70.374339 0.042366 0.018884 0.272814
-70.374339 0.022811 0.011122 0.025284
-70.374339 0.025924 0.013558 0.018780
-70.374339 0.022811 0.011122 0.025284
-70.374339 0.023638 0.012376 0.023309
-67.607169 0.024690 0.012938 0.012375
-70.374339 0.023933 0.011272 0.020893
-70.374339 0.022182 0.011004 0.023280
-70.374339 0.013587 0.007878 0.000000
-70.374339 0.043130 0.019524 0.335758
-70.374339 0.013190 0.007088 0.000000
-70.374339 0.012605 0.006082 0.000000
-70.374339 0.035509 0.025829 0.007395
-70.374339 0.018402 0.012219 0.000000
-70.374339 0.050014 0.030190 0.065014
-70.374339 0.052488 0.026801 0.400735
-67.607169 0.001399 0.000668 0.000000
-67.607169 0.002765 0.001458 0.000000
-70.374339 0.029928 0.018819 0.000000
-70.374339 0.163779 0.031749 0.721213
-67.607169 0.013415 0.008073 0.000000
-67.607169 0.001595 0.001350 0.000000
-67.607169 0.002202 0.001723 0.000000
-67.607169 0.002202 0.001723 0.000000
-70.374339 0.012975 0.007921 0.000000
-70.374339 0.013213 0.008496 0.003080
-67.607169 0.014285 0.010812 0.056652
-67.607169 0.012655 0.008162 0.006226
-70.374339 0.016033 0.011368 0.012639
-67.607169 0.036155 0.021352 0.022801
-70.374339 0.043388 0.015654 0.471792
-67.607169 0.001639 0.000810 0.000000
-67.607169 0.002370 0.001259 0.000000
-86.520365 0.189606 0.249426 0.492922
-80.428449 0.006689 0.005094 0.000000
-82.051591 0.189606 0.249426 0.492922
-52.890175 0.001333 0.000748 0.000000
-67.607169 0.002370 0.001259 0.000000
