simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
7.92284,0,3.88911,3.79185e+07,8,37,4.07275,0,-1.11119e-06,0.00201342,1.48261e-05,8.35744e-07
8.02284,0,3.89058,3.71602e+07,8,36,4.0743,0,-0.000254111,0.00231577,1.48763e-05,2.60053e-07
8.12284,0,3.89003,3.6417e+07,8,35,4.07371,0,-0.000146111,0.00181866,1.49726e-05,4.78535e-07
8.22284,0,3.89026,3.56886e+07,8,35,4.07395,0,-0.000228111,0.00181378,1.50479e-05,3.88626e-07
8.32284,0,3.886,3.49749e+07,7,34,4.0721,0,-2.01111e-05,0.00160521,1.51506e-05,1.07722e-06
8.42284,0,3.88101,3.42754e+07,7,33,4.06685,0,-0.00081311,0.00230031,1.53621e-05,3.03003e-06
8.52284,1,3.88694,3.42754e+07,7,33,4.0731,0,0.000195888,0.00189697,1.54466e-05,7.0757e-07
8.62284,1,3.88077,3.42754e+07,7,33,4.0666,0,-8.11148e-06,0.00203098,1.56243e-05,3.12526e-06
8.72284,1,3.88244,3.42754e+07,7,33,4.06835,0,-0.00060511,0.00164394,1.57995e-05,2.47051e-06
8.82284,1,3.88751,3.42754e+07,7,33,4.07369,0,-0.000328111,0.00219199,1.58739e-05,4.86428e-07
8.92284,1,3.88655,3.42754e+07,7,33,4.07269,0,-0.000193111,0.00154189,1.59893e-05,8.58554e-07
9.02284,1,3.88636,3.42754e+07,7,33,4.07248,0,5.38889e-05,0.00164861,1.60921e-05,9.34425e-07
9.12284,1,3.8849,3.42754e+07,7,33,4.07095,0,-0.000980111,0.00190113,1.6233e-05,1.50599e-06
9.22284,1,3.87267,3.42754e+07,7,33,4.05807,0,-6.91109e-05,0.00183084,1.64744e-05,6.30511e-06
9.32284,1,3.88683,3.42754e+07,7,33,4.07298,0,-0.00058011,0.00177433,1.65764e-05,7.498e-07
9.42284,1,3.88744,3.42754e+07,7,33,4.07362,0,0.000128889,0.00185501,1.66443e-05,5.13682e-07
9.52284,1,3.88465,3.42754e+07,7,33,4.07068,0,1.78887e-05,0.0017898,1.68105e-05,1.60546e-06
9.62284,1,3.88788,3.42754e+07,7,33,4.07408,0,8.78887e-05,0.00190356,1.68816e-05,3.40567e-07
9.72284,1,3.88316,3.42754e+07,7,33,4.06912,0,-1.11127e-06,0.00258909,1.70171e-05,2.18719e-06
9.82284,1,3.88711,3.42754e+07,7,33,4.07328,0,-7.7111e-05,0.00158695,1.71238e-05,6.39823e-07
9.92284,1,3.88868,3.42754e+07,7,33,4.07492,0,4.98889e-05,0.00192078,1.71361e-05,2.87939e-08
10.0228,1,3.88425,3.42754e+07,7,33,4.07026,0,0.000124889,0.00175833,1.72817e-05,1.76103e-06
10.1228,1,3.88708,3.42754e+07,7,33,4.07324,0,-0.000452111,0.00172472,1.7396e-05,6.52146e-07
10.2228,0,3.8845,3.35899e+07,7,33,4.07053,0,3.88885e-05,0.00201354,1.75551e-05,1.66089e-06
10.3228,0,3.88808,3.29181e+07,7,32,4.07429,0,0.000162889,0.00154021,1.76126e-05,2.63478e-07
10.4228,0,3.87999,3.22597e+07,7,31,4.06578,0,-0.00140911,0.00214504,1.77724e-05,3.4279e-06
10.5228,0,3.88743,3.16145e+07,7,31,4.07361,0,-0.000230111,0.00188525,1.78444e-05,5.15685e-07
10.6228,1,3.88718,3.16145e+07,7,31,4.07335,0,0.000364889,0.00185283,1.79234e-05,6.14058e-07
10.7228,1,3.88647,3.16145e+07,7,31,4.0726,0,-1.41111e-05,0.00210886,1.80663e-05,8.93384e-07
10.8228,1,3.88831,3.16145e+07,7,31,4.07454,0,-0.000217111,0.0017528,1.81217e-05,1.72215e-07
10.9228,1,3.88059,3.16145e+07,7,31,4.06641,0,-0.000354111,0.00202549,1.83012e-05,3.19476e-06
11.0228,1,3.88768,3.16145e+07,7,31,4.07387,0,7.08889e-05,0.00172211,1.83769e-05,4.18517e-07
11.1228,1,3.88644,3.16145e+07,7,31,4.07257,0,0.000365889,0.00195919,1.84744e-05,9.02044e-07
11.2228,1,3.88768,3.16145e+07,7,31,4.07387,0,-8.9111e-05,0.00149092,1.85805e-05,4.19085e-07
11.3228,1,3.88848,3.16145e+07,7,31,4.07472,0,0.000210889,0.0019811,1.8601e-05,1.04594e-07
11.4228,1,3.88292,3.16145e+07,7,31,4.06886,0,-0.000287111,0.0019389,1.87642e-05,2.28068e-06
11.5228,1,3.8886,3.16145e+07,7,31,4.07484,0,9.28889e-05,0.00182729,1.8788e-05,6.03601e-08
11.6228,1,3.88765,3.16145e+07,7,31,4.07384,0,-0.000289111,0.00217837,1.88486e-05,4.30126e-07
11.7228,1,3.88851,3.16145e+07,7,31,4.07475,0,-2.81111e-05,0.00171695,1.8894e-05,9.29015e-08
11.8228,1,3.88755,3.16145e+07,7,31,4.07374,0,0.000148889,0.00218989,1.89482e-05,4.67634e-07
11.9228,1,3.88713,3.16145e+07,7,31,4.07329,0,6.48888e-05,0.00156326,1.90573e-05,6.34193e-07
12.0228,1,3.8853,3.16145e+07,7,31,4.07136,0,0.000330889,0.00242914,1.91709e-05,1.35089e-06
12.1228,1,3.88764,3.16145e+07,7,31,4.07383,0,1.88888e-05,0.00228303,1.92779e-05,4.34033e-07
12.2228,1,3.88858,3.16145e+07,7,31,4.07482,0,0.000126889,0.00182601,1.92953e-05,6.618e-08
12.3228,1,3.88664,3.16145e+07,7,31,4.07278,0,-0.000319111,0.0014268,1.94264e-05,8.26521e-07
12.4228,1,3.88855,3.16145e+07,7,31,4.07479,0,7.48889e-05,0.00226043,1.94431e-05,7.91788e-08
